OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
1104,2343,5231301,Maplewood Heights Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3864.10741764963,834589.434750143
1105,5302,3220702,Marjorie R. Stanley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5590.9672656137,765782.724733712
1106,2584,5240701,Clise Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1094.633075327,64143.2320293021
1107,7062,3241402,Junction Plaza Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,359.088655093109,6810.43343485676
1108,7121,4252003,Bagley Viewpoint,Park Site,State of Washington,State,City of Seattle,City,City of Seattle,City,353.047671501036,6224.01015808802
1109,2266,4261202,Rhododendron Park,Park Site,City of Kenmore,City,City of Kenmore,City,City of Kenmore,City,2920.28579252764,509404.839368908
1110,7036,4253308,Gerber Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,453.995481861469,7131.90601105868
1111,7137,3252304,Bayview Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1854.06504449239,201448.614047914
1112,2425,4212701,Five Mile Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,6576.24888268547,1390516.9780627
1113,8141,5240303,Skyridge Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,513.319858908125,16203.691157666
1114,4973,4243502,Pritchard Island Beach,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5778.65429495007,584032.938551914
1115,2674,6222701,Fernwood Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City,2469.18636621355,260821.319199809
1116,6903,5240803,Enatai Neighborhood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2027.39616124613,179403.361054698
1117,7842,4231607,Neighborhood Park at SeaTac Community Center,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,3152.77218397088,530761.160680243
1118,7257,2210101,Neill Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,10496.2763197067,2556358.49506255
1119,2964,7243204,Preston Snoqualmie Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,73603.9440720664,3892371.74672549
1120,4560,7200601,Fell Hill Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,3516.87398192157,601983.078178112
1121,6967,4262807,Lake City Memorial Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,86.529246660885,233.714858903584
1122,2287,4250901,Ravenna Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,10944.4608127445,2202788.57913525
1123,7150,4252909,Eastlake Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,250.741985594138,3238.58578786388
1124,6924,7261802,Alva Miller Park,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,1359.73488755929,81464.9968596733
1125,7026,4253103,Belltown Cottage Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,360.174669492834,7215.44522130954
1126,7091,4251003,Burke-Gilman Playground Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4365.82060491065,310441.150985968
1127,3076,3232401,Lake Burien School Memorial Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1850.63309342426,199940.23627592
