"County Name","Years","Census Tract","Smoke Days"
"King","AllYears","53033001702","6.14"
"King","AllYears","53033001800","6.14"
"King","AllYears","53033001900","6.14"
"King","AllYears","53033002000","6.14"
"King","AllYears","53033002100","6.14"
"King","AllYears","53033002200","6.14"
"King","AllYears","53033002400","6.14"
"King","AllYears","53033002500","6.14"
"King","AllYears","53033002600","6.14"
"King","AllYears","53033002700","6.14"
"King","AllYears","53033002800","6.14"
"King","AllYears","53033002900","6.14"
"King","AllYears","53033003000","6.14"
"King","AllYears","53033003100","6"
"King","AllYears","53033003200","6"
"King","AllYears","53033003300","6.14"
"King","AllYears","53033003400","6.14"
"King","AllYears","53033003500","6.14"
"King","AllYears","53033003600","6.14"
"King","AllYears","53033003800","6.14"
"King","AllYears","53033003900","6.14"
"King","AllYears","53033004000","6.29"
"King","AllYears","53033004100","6.14"
"King","AllYears","53033004200","6.14"
"King","AllYears","53033004301","6.14"
"King","AllYears","53033004302","6.14"
"King","AllYears","53033004400","6.14"
"King","AllYears","53033004500","6.14"
"King","AllYears","53033004600","6.14"
"King","AllYears","53033004700","6.14"
"King","AllYears","53033004800","6.14"
"King","AllYears","53033004900","6.14"
"King","AllYears","53033005000","6.14"
"King","AllYears","53033005100","6.14"
"King","AllYears","53033005200","6.14"
"King","AllYears","53033005301","6.14"
"King","AllYears","53033005302","6.14"
"King","AllYears","53033005400","6.14"
"King","AllYears","53033005600","6"
"King","AllYears","53033005700","6"
"King","AllYears","53033005801","6"
"King","AllYears","53033005802","6"
"King","AllYears","53033005900","6.14"
"King","AllYears","53033006000","6.14"
"King","AllYears","53033006100","6.14"
"King","AllYears","53033006200","6.14"
"King","AllYears","53033006300","6.14"
"King","AllYears","53033006400","6.14"
"King","AllYears","53033006500","6.14"
"King","AllYears","53033006600","6.14"
"King","AllYears","53033006700","6.14"
"King","AllYears","53033006800","6.14"
"King","AllYears","53033006900","6"
"King","AllYears","53033007000","6.14"
"King","AllYears","53033007100","6.14"
"King","AllYears","53033007200","6.14"
"King","AllYears","53033007300","6.14"
"King","AllYears","53033007401","6.14"
"King","AllYears","53033007402","6.14"
"King","AllYears","53033007500","6.14"
"King","AllYears","53033007600","6.14"
"King","AllYears","53033007700","6.14"
"King","AllYears","53033007800","6.14"
"King","AllYears","53033007900","6.14"
"King","AllYears","53033008001","6.14"
"King","AllYears","53033008002","6.14"
"King","AllYears","53033008100","6.14"
"King","AllYears","53033008200","6.14"
"King","AllYears","53033008300","6.14"
"King","AllYears","53033008400","6.14"
"King","AllYears","53033008500","6.14"
"King","AllYears","53033008600","6.14"
"King","AllYears","53033008700","6.14"
"King","AllYears","53033008800","6.14"
"King","AllYears","53033008900","6.14"
"King","AllYears","53033009000","6.14"
"King","AllYears","53033009100","6.14"
"King","AllYears","53033009200","6.14"
"King","AllYears","53033009300","6"
"King","AllYears","53033009400","6.14"
"King","AllYears","53033009500","6.14"
"King","AllYears","53033009600","5.86"
"King","AllYears","53033009701","5.86"
"King","AllYears","53033009702","5.86"
"King","AllYears","53033009800","5.86"
"King","AllYears","53033009900","5.86"
"King","AllYears","53033010001","6"
"King","AllYears","53033010002","6"
"King","AllYears","53033010100","6"
"King","AllYears","53033010200","6"
"King","AllYears","53033010300","6"
"King","AllYears","53033010401","6"
"King","AllYears","53033010402","6"
"King","AllYears","53033010500","5.86"
"King","AllYears","53033010600","5.86"
"King","AllYears","53033010701","5.86"
"King","AllYears","53033010702","5.86"
"King","AllYears","53033010800","5.86"
